1208,111,1.8095
1224,111,1.3517
1240,111,2.02146
1192,127,1.49086
1208,127,1.33851
1224,127,1.85335
1176,143,1.37961
1192,143,1.9513
1208,143,1.65063
1160,159,1.16067
1176,159,1.71414
1192,159,1.33395
1208,159,1.82335
1160,175,1.39574
1176,175,1.9513
1192,175,1.6825
1160,191,1.5708
1176,191,1.4158
1128,255,1.58508
488,271,1.53855
504,271,2.0259
456,287,1.66751
472,287,1.17372
488,287,1.77644
440,303,1.26274
456,303,1.60304
472,303,1.60304
488,303,1.9779
424,319,1.13417
440,319,1.60304
456,319,1.60304
472,319,1.6825
1112,319,1.73595
424,335,1.3037
440,335,1.60304
456,335,1.60304
472,335,2.02146
1096,335,1.5784
1112,335,1.41088
1128,335,1.92379
424,351,1.53855
440,351,1.60304
456,351,1.69912
1080,351,1.35544
1096,351,1.47432
1112,351,1.61858
408,367,1.16067
424,367,1.60304
440,367,1.60304
456,367,1.9779
1080,367,1.581
1096,367,1.60304
1112,367,1.79288
408,383,1.47432
424,383,1.60304
440,383,1.65063
1064,383,1.24515
1080,383,1.39574
1096,383,1.60304
1112,383,2.0032
392,399,1.18805
408,399,1.60304
424,399,1.60304
440,399,1.9513
1064,399,1.5708
392,415,1.36464
408,415,1.60304
424,415,1.61858
392,431,1.53855
408,431,1.60304
424,431,1.79288
376,447,1.20146
392,447,1.60304
408,447,1.60304
424,447,1.9513
376,463,1.37961
392,463,1.60304
408,463,1.69912
1064,463,2.00742
376,479,1.50637
392,479,1.60304
408,479,1.85335
360,495,1.17372
376,495,1.60304
392,495,1.60304
408,495,1.9513
360,511,1.28824
376,511,1.60304
392,511,1.60304
408,511,2.03444
360,527,1.37961
376,527,1.60304
392,527,1.76198
360,543,1.50637
376,543,1.60304
392,543,1.85335
344,559,1.1466
360,559,1.60304
376,559,1.60304
392,559,2.02146
1032,559,1.60304
344,575,1.20146
360,575,1.60304
376,575,1.63522
1016,575,1.22982
1032,575,1.6825
344,591,1.3037
360,591,1.60304
376,591,1.76198
1016,591,1.31824
1032,591,1.76198
1048,591,1.98321
344,607,1.39574
360,607,1.60304
376,607,1.88284
1016,607,1.42718
1032,607,1.98126
344,623,1.49086
360,623,1.60304
376,623,1.96788
344,639,1.53855
360,639,1.63522
328,655,1.17372
344,655,1.60304
360,655,1.74547
328,671,1.25875
344,671,1.60304
360,671,1.88284
328,687,1.28824
344,687,1.60304
360,687,1.96788
328,703,1.37961
344,703,1.60304
360,703,2.03444
328,719,1.49086
344,719,1.73071
